,precision,recall,f1-score,support
dǿma,0.2,0.3333333333333333,0.25,3.0
nafn,1.0,1.0,1.0,13.0
reka,0.0,0.0,0.0,0.0
capitulus,0.6,0.75,0.6666666666666666,4.0
bǽði,0.5434782608695652,0.8333333333333334,0.6578947368421053,30.0
fleiri,0.5686274509803921,1.0,0.725,29.0
garðr,0.5833333333333334,1.0,0.7368421052631579,14.0
þórsteinn,0.0,0.0,0.0,0.0
barn,0.0,0.0,0.0,0.0
þiggja,0.0,0.0,0.0,7.0
fár,0.6,0.375,0.46153846153846156,16.0
verk,0.9,1.0,0.9473684210526315,18.0
skjǫldr,0.8571428571428571,1.0,0.9230769230769231,6.0
haf,0.875,0.5833333333333334,0.7,24.0
ólafr,0.0,0.0,0.0,0.0
grikkr,0.0,0.0,0.0,0.0
bregða,0.5,0.8333333333333334,0.625,12.0
þórir,0.0,0.0,0.0,0.0
norðr,0.0,0.0,0.0,0.0
bárðr,0.0,0.0,0.0,0.0
yðvarr,0.5161290322580645,0.8421052631578947,0.64,19.0
illa,0.8709677419354839,1.0,0.9310344827586207,27.0
dauðr,0.4444444444444444,0.8,0.5714285714285714,5.0
skammr,1.0,0.8823529411764706,0.9375,17.0
skjóta,0.8518518518518519,1.0,0.92,23.0
drekka,0.0,0.0,0.0,0.0
karl,1.0,1.0,1.0,2.0
harðr,1.0,1.0,1.0,4.0
friðr,0.5294117647058824,1.0,0.6923076923076923,9.0
leið,0.75,1.0,0.8571428571428571,21.0
fagr,0.0,0.0,0.0,0.0
sterkr,0.0,0.0,0.0,4.0
ásbjǫrn,0.0,0.0,0.0,0.0
ísland,0.0,0.0,0.0,0.0
þriði,0.75,0.375,0.5,24.0
rǿða,0.0,0.0,0.0,0.0
ván,0.9166666666666666,1.0,0.9565217391304348,22.0
sami,0.5333333333333333,0.96,0.6857142857142857,25.0
sveinn,1.0,0.625,0.7692307692307693,8.0
gull,0.0,0.0,0.0,0.0
vega,0.7777777777777778,0.3888888888888889,0.5185185185185185,18.0
einarr,0.5,1.0,0.6666666666666666,2.0
brenna,0.45454545454545453,0.75,0.5660377358490566,20.0
leysa,0.0,0.0,0.0,0.0
gríss,1.0,1.0,1.0,7.0
kostr,0.75,0.6666666666666666,0.7058823529411765,9.0
verja,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
suðr,0.0,0.0,0.0,0.0
verðr,0.9090909090909091,0.43478260869565216,0.5882352941176471,23.0
skógr,0.0,0.0,0.0,0.0
saga,0.0,0.0,0.0,0.0
háttr,0.8,0.9523809523809523,0.8695652173913043,21.0
veizla,0.0,0.0,0.0,0.0
þórarinn,0.0,0.0,0.0,0.0
auga,0.0,0.0,0.0,0.0
gamall,0.0,0.0,0.0,2.0
binda,1.0,0.75,0.8571428571428571,4.0
vald,0.3,0.6,0.4,5.0
boð,0.0,0.0,0.0,8.0
renna,0.5588235294117647,0.95,0.7037037037037037,20.0
dauði,1.0,0.26666666666666666,0.42105263157894735,15.0
trúa,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
betri,0.0,0.0,0.0,23.0
bardagi,0.0,0.0,0.0,0.0
óttarr,0.8888888888888888,1.0,0.9411764705882353,16.0
vár,0.0,0.0,0.0,4.0
þórðr,1.0,0.9333333333333333,0.9655172413793104,15.0
heima,0.8214285714285714,1.0,0.9019607843137255,23.0
hvárt,0.5,0.4782608695652174,0.4888888888888889,23.0
ungr,0.0,0.0,0.0,0.0
ey,0.0,0.0,0.0,0.0
haraldr,1.0,0.9230769230769231,0.96,13.0
steinn,1.0,0.5,0.6666666666666666,2.0
bráðr,0.8461538461538461,0.5238095238095238,0.6470588235294118,21.0
telja,0.0,0.0,0.0,0.0
þorvaldr,0.0,0.0,0.0,0.0
ófeigr,0.0,0.0,0.0,0.0
stýrimaðr,0.0,0.0,0.0,0.0
ná,1.0,0.6666666666666666,0.8,3.0
arfr,0.75,0.5,0.6,6.0
ríkja,1.0,0.6666666666666666,0.8,3.0
himinn,0.0,0.0,0.0,0.0
miskunn,0.0,0.0,0.0,6.0
vatn,0.0,0.0,0.0,0.0
anda,0.0,0.0,0.0,0.0
þorsteinn,0.0,0.0,0.0,0.0
heill,0.0,0.0,0.0,0.0
hverfa,0.8571428571428571,1.0,0.9230769230769231,6.0
bani,1.0,1.0,1.0,19.0
spjót,0.0,0.0,0.0,0.0
herað,1.0,1.0,1.0,3.0
kveld,0.0,0.0,0.0,0.0
fǿða,0.0,0.0,0.0,0.0
virða,0.7777777777777778,1.0,0.875,7.0
sigr,1.0,0.3333333333333333,0.5,3.0
ágǽtr,0.0,0.0,0.0,3.0
vili,1.0,0.2857142857142857,0.4444444444444444,21.0
váttr,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
þáer,0.0,0.0,0.0,0.0
dróttning,0.0,0.0,0.0,0.0
ørendi,0.5,0.5,0.5,2.0
úti,0.0,0.0,0.0,0.0
fjall,0.0,0.0,0.0,0.0
kveðja,0.0,0.0,0.0,3.0
fullr,1.0,0.6666666666666666,0.8,3.0
kasta,0.0,0.0,0.0,0.0
flýja,0.0,0.0,0.0,0.0
páfi,0.0,0.0,0.0,0.0
víg,0.2,0.3333333333333333,0.25,3.0
bók,0.0,0.0,0.0,0.0
stíga,1.0,0.3333333333333333,0.5,3.0
reyna,0.0,0.0,0.0,0.0
ríkr,0.0,0.0,0.0,3.0
sár,0.875,0.9333333333333333,0.9032258064516129,15.0
orrusta,0.0,0.0,0.0,0.0
steingerðr,0.0,0.0,0.0,0.0
fylking,0.0,0.0,0.0,0.0
skyldr,0.5,0.8571428571428571,0.631578947368421,7.0
óvinr,0.0,0.0,0.0,0.0
hákon,0.0,0.0,0.0,0.0
austr,1.0,1.0,1.0,3.0
byggja,0.75,0.6666666666666666,0.7058823529411765,9.0
nokkurr,0.25,0.15789473684210525,0.1935483870967742,19.0
meta,0.0,0.0,0.0,2.0
sigra,0.0,0.0,0.0,0.0
deyja,0.0,0.0,0.0,0.0
haust,0.0,0.0,0.0,0.0
einnhverr,0.0,0.0,0.0,0.0
íbrott,0.0,0.0,0.0,0.0
lauss,0.0,0.0,0.0,4.0
hingat,0.0,0.0,0.0,0.0
lýsa,0.0,0.0,0.0,2.0
reiði,0.9375,0.8333333333333334,0.8823529411764706,18.0
systir,0.0,0.0,0.0,0.0
samr,0.6,0.15789473684210525,0.25,19.0
beiða,1.0,1.0,1.0,1.0
bíða,0.0,0.0,0.0,2.0
hríð,0.0,0.0,0.0,0.0
róa,0.0,0.0,0.0,0.0
it,1.0,0.05555555555555555,0.10526315789473684,18.0
byskup,0.0,0.0,0.0,0.0
yrkja,0.0,0.0,0.0,0.0
nǽri,0.7142857142857143,0.2777777777777778,0.4,18.0
jǫkull,0.0,0.0,0.0,0.0
gjǫf,0.0,0.0,0.0,0.0
skera,0.0,0.0,0.0,0.0
eiðr,0.875,1.0,0.9333333333333333,7.0
engill,1.0,1.0,1.0,3.0
folk,0.0,0.0,0.0,0.0
klǽði,0.0,0.0,0.0,0.0
sǿmð,0.0,0.0,0.0,0.0
ímóti,0.5,0.2777777777777778,0.35714285714285715,18.0
óláfr,0.8125,0.7222222222222222,0.7647058823529411,18.0
vaxa,0.0,0.0,0.0,0.0
aldr,0.0,0.0,0.0,9.0
bak,0.0,0.0,0.0,0.0
sofa,0.0,0.0,0.0,0.0
skaði,1.0,1.0,1.0,11.0
hón,0.0,0.0,0.0,8.0
hefna,0.0,0.0,0.0,0.0
ást,0.0,0.0,0.0,0.0
varðveita,0.0,0.0,0.0,0.0
bǿn,0.6666666666666666,0.4,0.5,5.0
kvǽði,0.6363636363636364,0.7777777777777778,0.7,9.0
